Concessioner Lodging Overnights_label,Concessioner Lodging Overnights_Chart1_CategoryGroup_label,Concessioner Lodging Overnights_Chart1_CategoryGroup_Value_Y,Concessioner Camping Overnights_label,Concessioner Camping Overnights_Chart1_CategoryGroup_Value_Y,Tent Overnights_label,Tent Overnights_Chart1_CategoryGroup_Value_Y,Recreation Vehicle Overnights_label,Recreation Vehicle Overnights_Chart1_CategoryGroup_Value_Y,Backcountry Overnights_label,Backcountry Overnights_Chart1_CategoryGroup_Value_Y,Miscellaneous Overnights_label,Miscellaneous Overnights_Chart1_CategoryGroup_Value_Y,Non Recreation Overnights_label,Non Recreation Overnights_Chart1_CategoryGroup_Value_Y
Concessioner Lodging Overnights,1979,439933,Concessioner Camping Overnights,34883,Tent Overnights,111022,Recreation Vehicle Overnights,35752,Backcountry Overnights,120472,Miscellaneous Overnights,0,Non Recreation Overnights,22080
Concessioner Lodging Overnights,1980,479764,Concessioner Camping Overnights,21642,Tent Overnights,88032,Recreation Vehicle Overnights,27193,Backcountry Overnights,85990,Miscellaneous Overnights,0,Non Recreation Overnights,2595
Concessioner Lodging Overnights,1981,551270,Concessioner Camping Overnights,20215,Tent Overnights,80264,Recreation Vehicle Overnights,30693,Backcountry Overnights,91835,Miscellaneous Overnights,0,Non Recreation Overnights,20775
Concessioner Lodging Overnights,1982,519582,Concessioner Camping Overnights,18548,Tent Overnights,86137,Recreation Vehicle Overnights,26894,Backcountry Overnights,99117,Miscellaneous Overnights,0,Non Recreation Overnights,51901
Concessioner Lodging Overnights,1983,474998,Concessioner Camping Overnights,18693,Tent Overnights,77627,Recreation Vehicle Overnights,26391,Backcountry Overnights,103893,Miscellaneous Overnights,0,Non Recreation Overnights,21582
Concessioner Lodging Overnights,1984,529554,Concessioner Camping Overnights,20904,Tent Overnights,80172,Recreation Vehicle Overnights,26167,Backcountry Overnights,96879,Miscellaneous Overnights,0,Non Recreation Overnights,25813
Concessioner Lodging Overnights,1985,542166,Concessioner Camping Overnights,21578,Tent Overnights,58216,Recreation Vehicle Overnights,29414,Backcountry Overnights,81168,Miscellaneous Overnights,0,Non Recreation Overnights,4740
Concessioner Lodging Overnights,1986,443146,Concessioner Camping Overnights,25176,Tent Overnights,61133,Recreation Vehicle Overnights,28375,Backcountry Overnights,73185,Miscellaneous Overnights,0,Non Recreation Overnights,3454
Concessioner Lodging Overnights,1987,552899,Concessioner Camping Overnights,41288,Tent Overnights,118826,Recreation Vehicle Overnights,82161,Backcountry Overnights,47436,Miscellaneous Overnights,23844,Non Recreation Overnights,0
Concessioner Lodging Overnights,1988,609854,Concessioner Camping Overnights,41101,Tent Overnights,92728,Recreation Vehicle Overnights,55791,Backcountry Overnights,37350,Miscellaneous Overnights,31081,Non Recreation Overnights,0
Concessioner Lodging Overnights,1989,599653,Concessioner Camping Overnights,44202,Tent Overnights,131910,Recreation Vehicle Overnights,73444,Backcountry Overnights,30739,Miscellaneous Overnights,5166,Non Recreation Overnights,0
Concessioner Lodging Overnights,1990,614720,Concessioner Camping Overnights,42324,Tent Overnights,135457,Recreation Vehicle Overnights,77678,Backcountry Overnights,32912,Miscellaneous Overnights,4933,Non Recreation Overnights,0
Concessioner Lodging Overnights,1991,629133,Concessioner Camping Overnights,43729,Tent Overnights,142087,Recreation Vehicle Overnights,107841,Backcountry Overnights,225781,Miscellaneous Overnights,37667,Non Recreation Overnights,0
Concessioner Lodging Overnights,1992,647665,Concessioner Camping Overnights,44996,Tent Overnights,132523,Recreation Vehicle Overnights,124169,Backcountry Overnights,230627,Miscellaneous Overnights,33281,Non Recreation Overnights,0
Concessioner Lodging Overnights,1993,625451,Concessioner Camping Overnights,42326,Tent Overnights,165120,Recreation Vehicle Overnights,110016,Backcountry Overnights,244824,Miscellaneous Overnights,25855,Non Recreation Overnights,0
Concessioner Lodging Overnights,1994,588043,Concessioner Camping Overnights,40746,Tent Overnights,165609,Recreation Vehicle Overnights,86196,Backcountry Overnights,256269,Miscellaneous Overnights,27076,Non Recreation Overnights,0
Concessioner Lodging Overnights,1995,533322,Concessioner Camping Overnights,40396,Tent Overnights,148025,Recreation Vehicle Overnights,116666,Backcountry Overnights,256799,Miscellaneous Overnights,27990,Non Recreation Overnights,0
Concessioner Lodging Overnights,1996,577921,Concessioner Camping Overnights,41723,Tent Overnights,151166,Recreation Vehicle Overnights,81454,Backcountry Overnights,265293,Miscellaneous Overnights,26022,Non Recreation Overnights,0
Concessioner Lodging Overnights,1997,584441,Concessioner Camping Overnights,44758,Tent Overnights,142959,Recreation Vehicle Overnights,75869,Backcountry Overnights,246610,Miscellaneous Overnights,24597,Non Recreation Overnights,0
Concessioner Lodging Overnights,1998,576798,Concessioner Camping Overnights,42324,Tent Overnights,130594,Recreation Vehicle Overnights,54985,Backcountry Overnights,152778,Miscellaneous Overnights,15357,Non Recreation Overnights,0
Concessioner Lodging Overnights,1999,590659,Concessioner Camping Overnights,41964,Tent Overnights,178966,Recreation Vehicle Overnights,131603,Backcountry Overnights,154478,Miscellaneous Overnights,34085,Non Recreation Overnights,0
Concessioner Lodging Overnights,2000,595600,Concessioner Camping Overnights,41613,Tent Overnights,159360,Recreation Vehicle Overnights,96304,Backcountry Overnights,181998,Miscellaneous Overnights,10579,Non Recreation Overnights,0
Concessioner Lodging Overnights,2001,561668,Concessioner Camping Overnights,41034,Tent Overnights,170219,Recreation Vehicle Overnights,107308,Backcountry Overnights,250876,Miscellaneous Overnights,20967,Non Recreation Overnights,0
Concessioner Lodging Overnights,2002,556927,Concessioner Camping Overnights,41247,Tent Overnights,166098,Recreation Vehicle Overnights,107301,Backcountry Overnights,241738,Miscellaneous Overnights,29569,Non Recreation Overnights,0
Concessioner Lodging Overnights,2003,587671,Concessioner Camping Overnights,41540,Tent Overnights,164143,Recreation Vehicle Overnights,106530,Backcountry Overnights,244271,Miscellaneous Overnights,28693,Non Recreation Overnights,0
Concessioner Lodging Overnights,2004,603682,Concessioner Camping Overnights,45063,Tent Overnights,161427,Recreation Vehicle Overnights,117221,Backcountry Overnights,255617,Miscellaneous Overnights,36586,Non Recreation Overnights,0
Concessioner Lodging Overnights,2005,593983,Concessioner Camping Overnights,43564,Tent Overnights,149193,Recreation Vehicle Overnights,115715,Backcountry Overnights,238381,Miscellaneous Overnights,43630,Non Recreation Overnights,0
Concessioner Lodging Overnights,2006,604533,Concessioner Camping Overnights,48316,Tent Overnights,140507,Recreation Vehicle Overnights,121258,Backcountry Overnights,244413,Miscellaneous Overnights,47698,Non Recreation Overnights,0
Concessioner Lodging Overnights,2007,670322,Concessioner Camping Overnights,60131,Tent Overnights,141786,Recreation Vehicle Overnights,100735,Backcountry Overnights,282663,Miscellaneous Overnights,43059,Non Recreation Overnights,0
Concessioner Lodging Overnights,2008,641121,Concessioner Camping Overnights,57122,Tent Overnights,141971,Recreation Vehicle Overnights,101075,Backcountry Overnights,314304,Miscellaneous Overnights,43308,Non Recreation Overnights,0
Concessioner Lodging Overnights,2009,645106,Concessioner Camping Overnights,55538,Tent Overnights,148065,Recreation Vehicle Overnights,102273,Backcountry Overnights,276150,Miscellaneous Overnights,42707,Non Recreation Overnights,0
Concessioner Lodging Overnights,2010,615562,Concessioner Camping Overnights,56910,Tent Overnights,155038,Recreation Vehicle Overnights,95626,Backcountry Overnights,295949,Miscellaneous Overnights,26798,Non Recreation Overnights,0
Concessioner Lodging Overnights,2011,639661,Concessioner Camping Overnights,57185,Tent Overnights,206850,Recreation Vehicle Overnights,126310,Backcountry Overnights,291833,Miscellaneous Overnights,35840,Non Recreation Overnights,0
Concessioner Lodging Overnights,2012,687730,Concessioner Camping Overnights,58085,Tent Overnights,150673,Recreation Vehicle Overnights,69667,Backcountry Overnights,300418,Miscellaneous Overnights,32296,Non Recreation Overnights,0
