Concessioner Lodging Overnights_label,Concessioner Lodging Overnights_Chart1_CategoryGroup_label,Concessioner Lodging Overnights_Chart1_CategoryGroup_Value_Y,Concessioner Camping Overnights_label,Concessioner Camping Overnights_Chart1_CategoryGroup_Value_Y,Tent Overnights_label,Tent Overnights_Chart1_CategoryGroup_Value_Y,Recreation Vehicle Overnights_label,Recreation Vehicle Overnights_Chart1_CategoryGroup_Value_Y,Backcountry Overnights_label,Backcountry Overnights_Chart1_CategoryGroup_Value_Y,Miscellaneous Overnights_label,Miscellaneous Overnights_Chart1_CategoryGroup_Value_Y,Non Recreation Overnights_label,Non Recreation Overnights_Chart1_CategoryGroup_Value_Y
Concessioner Lodging Overnights,1979,184331,Concessioner Camping Overnights,55227,Tent Overnights,122465,Recreation Vehicle Overnights,117590,Backcountry Overnights,24558,Miscellaneous Overnights,28110,Non Recreation Overnights,0
Concessioner Lodging Overnights,1980,181889,Concessioner Camping Overnights,54291,Tent Overnights,150109,Recreation Vehicle Overnights,111961,Backcountry Overnights,23375,Miscellaneous Overnights,34187,Non Recreation Overnights,0
Concessioner Lodging Overnights,1981,199067,Concessioner Camping Overnights,57773,Tent Overnights,161590,Recreation Vehicle Overnights,106725,Backcountry Overnights,24259,Miscellaneous Overnights,40544,Non Recreation Overnights,0
Concessioner Lodging Overnights,1982,186893,Concessioner Camping Overnights,59901,Tent Overnights,143487,Recreation Vehicle Overnights,108665,Backcountry Overnights,18893,Miscellaneous Overnights,28345,Non Recreation Overnights,0
Concessioner Lodging Overnights,1983,186104,Concessioner Camping Overnights,52410,Tent Overnights,102623,Recreation Vehicle Overnights,87598,Backcountry Overnights,27168,Miscellaneous Overnights,28032,Non Recreation Overnights,0
Concessioner Lodging Overnights,1984,188814,Concessioner Camping Overnights,49965,Tent Overnights,107664,Recreation Vehicle Overnights,85555,Backcountry Overnights,24060,Miscellaneous Overnights,26189,Non Recreation Overnights,0
Concessioner Lodging Overnights,1985,182263,Concessioner Camping Overnights,47757,Tent Overnights,93805,Recreation Vehicle Overnights,82905,Backcountry Overnights,23425,Miscellaneous Overnights,21893,Non Recreation Overnights,0
Concessioner Lodging Overnights,1986,166257,Concessioner Camping Overnights,39238,Tent Overnights,89999,Recreation Vehicle Overnights,82363,Backcountry Overnights,22047,Miscellaneous Overnights,21081,Non Recreation Overnights,0
Concessioner Lodging Overnights,1987,170836,Concessioner Camping Overnights,55216,Tent Overnights,94607,Recreation Vehicle Overnights,94576,Backcountry Overnights,19099,Miscellaneous Overnights,18494,Non Recreation Overnights,0
Concessioner Lodging Overnights,1988,180761,Concessioner Camping Overnights,43859,Tent Overnights,90518,Recreation Vehicle Overnights,69919,Backcountry Overnights,22988,Miscellaneous Overnights,19989,Non Recreation Overnights,0
Concessioner Lodging Overnights,1989,186161,Concessioner Camping Overnights,43383,Tent Overnights,105184,Recreation Vehicle Overnights,97223,Backcountry Overnights,20827,Miscellaneous Overnights,21471,Non Recreation Overnights,0
Concessioner Lodging Overnights,1990,202305,Concessioner Camping Overnights,47729,Tent Overnights,111492,Recreation Vehicle Overnights,187581,Backcountry Overnights,23307,Miscellaneous Overnights,24561,Non Recreation Overnights,0
Concessioner Lodging Overnights,1991,205409,Concessioner Camping Overnights,53726,Tent Overnights,126501,Recreation Vehicle Overnights,108226,Backcountry Overnights,27114,Miscellaneous Overnights,25540,Non Recreation Overnights,0
Concessioner Lodging Overnights,1992,197064,Concessioner Camping Overnights,61282,Tent Overnights,132257,Recreation Vehicle Overnights,102959,Backcountry Overnights,29860,Miscellaneous Overnights,38215,Non Recreation Overnights,0
Concessioner Lodging Overnights,1993,216221,Concessioner Camping Overnights,52449,Tent Overnights,132337,Recreation Vehicle Overnights,111307,Backcountry Overnights,25667,Miscellaneous Overnights,12742,Non Recreation Overnights,0
Concessioner Lodging Overnights,1994,218342,Concessioner Camping Overnights,50710,Tent Overnights,151785,Recreation Vehicle Overnights,117568,Backcountry Overnights,37265,Miscellaneous Overnights,19675,Non Recreation Overnights,0
Concessioner Lodging Overnights,1995,225800,Concessioner Camping Overnights,53934,Tent Overnights,154979,Recreation Vehicle Overnights,130988,Backcountry Overnights,19557,Miscellaneous Overnights,16948,Non Recreation Overnights,0
Concessioner Lodging Overnights,1996,231115,Concessioner Camping Overnights,51563,Tent Overnights,140174,Recreation Vehicle Overnights,121552,Backcountry Overnights,28750,Miscellaneous Overnights,19318,Non Recreation Overnights,0
Concessioner Lodging Overnights,1997,224221,Concessioner Camping Overnights,47931,Tent Overnights,116995,Recreation Vehicle Overnights,108112,Backcountry Overnights,31354,Miscellaneous Overnights,23268,Non Recreation Overnights,0
Concessioner Lodging Overnights,1998,232711,Concessioner Camping Overnights,49113,Tent Overnights,116841,Recreation Vehicle Overnights,126524,Backcountry Overnights,30878,Miscellaneous Overnights,18492,Non Recreation Overnights,0
Concessioner Lodging Overnights,1999,236011,Concessioner Camping Overnights,49860,Tent Overnights,122731,Recreation Vehicle Overnights,117148,Backcountry Overnights,32169,Miscellaneous Overnights,20573,Non Recreation Overnights,0
Concessioner Lodging Overnights,2000,224288,Concessioner Camping Overnights,47185,Tent Overnights,109062,Recreation Vehicle Overnights,105060,Backcountry Overnights,32332,Miscellaneous Overnights,14196,Non Recreation Overnights,0
Concessioner Lodging Overnights,2001,219069,Concessioner Camping Overnights,44917,Tent Overnights,113720,Recreation Vehicle Overnights,100219,Backcountry Overnights,32700,Miscellaneous Overnights,16642,Non Recreation Overnights,0
Concessioner Lodging Overnights,2002,217722,Concessioner Camping Overnights,46524,Tent Overnights,115963,Recreation Vehicle Overnights,114846,Backcountry Overnights,31975,Miscellaneous Overnights,18134,Non Recreation Overnights,0
Concessioner Lodging Overnights,2003,222254,Concessioner Camping Overnights,48200,Tent Overnights,106042,Recreation Vehicle Overnights,119023,Backcountry Overnights,12949,Miscellaneous Overnights,16752,Non Recreation Overnights,0
Concessioner Lodging Overnights,2004,208741,Concessioner Camping Overnights,44657,Tent Overnights,94693,Recreation Vehicle Overnights,103937,Backcountry Overnights,27752,Miscellaneous Overnights,12005,Non Recreation Overnights,0
Concessioner Lodging Overnights,2005,211004,Concessioner Camping Overnights,245537,Tent Overnights,69,Recreation Vehicle Overnights,974,Backcountry Overnights,22424,Miscellaneous Overnights,2087,Non Recreation Overnights,0
Concessioner Lodging Overnights,2006,212527,Concessioner Camping Overnights,308706,Tent Overnights,383,Recreation Vehicle Overnights,1973,Backcountry Overnights,26858,Miscellaneous Overnights,2880,Non Recreation Overnights,0
Concessioner Lodging Overnights,2007,223600,Concessioner Camping Overnights,329998,Tent Overnights,0,Recreation Vehicle Overnights,0,Backcountry Overnights,29906,Miscellaneous Overnights,3109,Non Recreation Overnights,0
Concessioner Lodging Overnights,2008,214545,Concessioner Camping Overnights,308310,Tent Overnights,66,Recreation Vehicle Overnights,366,Backcountry Overnights,27521,Miscellaneous Overnights,2927,Non Recreation Overnights,0
Concessioner Lodging Overnights,2009,199274,Concessioner Camping Overnights,318239,Tent Overnights,92,Recreation Vehicle Overnights,904,Backcountry Overnights,30731,Miscellaneous Overnights,3118,Non Recreation Overnights,0
Concessioner Lodging Overnights,2010,207771,Concessioner Camping Overnights,276208,Tent Overnights,0,Recreation Vehicle Overnights,0,Backcountry Overnights,30597,Miscellaneous Overnights,3094,Non Recreation Overnights,0
Concessioner Lodging Overnights,2011,207341,Concessioner Camping Overnights,246262,Tent Overnights,0,Recreation Vehicle Overnights,0,Backcountry Overnights,28216,Miscellaneous Overnights,1648,Non Recreation Overnights,0
Concessioner Lodging Overnights,2012,196474,Concessioner Camping Overnights,266892,Tent Overnights,0,Recreation Vehicle Overnights,0,Backcountry Overnights,30214,Miscellaneous Overnights,1914,Non Recreation Overnights,0
Concessioner Lodging Overnights,2013,204896,Concessioner Camping Overnights,288303,Tent Overnights,10,Recreation Vehicle Overnights,56,Backcountry Overnights,30157,Miscellaneous Overnights,2280,Non Recreation Overnights,0
Concessioner Lodging Overnights,2014,215811,Concessioner Camping Overnights,302762,Tent Overnights,46,Recreation Vehicle Overnights,459,Backcountry Overnights,29524,Miscellaneous Overnights,1340,Non Recreation Overnights,0
Concessioner Lodging Overnights,2015,210538,Concessioner Camping Overnights,385770,Tent Overnights,0,Recreation Vehicle Overnights,0,Backcountry Overnights,33798,Miscellaneous Overnights,1132,Non Recreation Overnights,0
Concessioner Lodging Overnights,2016,196577,Concessioner Camping Overnights,297084,Tent Overnights,0,Recreation Vehicle Overnights,0,Backcountry Overnights,36206,Miscellaneous Overnights,979,Non Recreation Overnights,0
Concessioner Lodging Overnights,2017,230910,Concessioner Camping Overnights,368039,Tent Overnights,79,Recreation Vehicle Overnights,205,Backcountry Overnights,40193,Miscellaneous Overnights,2077,Non Recreation Overnights,0
Concessioner Lodging Overnights,2018,86797,Concessioner Camping Overnights,320111,Tent Overnights,0,Recreation Vehicle Overnights,0,Backcountry Overnights,38803,Miscellaneous Overnights,586,Non Recreation Overnights,0
,,,,,,,,,,,,,,
ReportYear,ConcessionerLodgingOvernights,Textbox5,TentOvernights,RecreationVehicleOvernights,BackcountryOvernights,MiscellaneousOvernights,NonRecreationOvernights,,,,,,,
2018,"86,797","320,111",0,0,"38,803",586,0,,,,,,,
2017,"230,910","368,039",79,205,"40,193","2,077",0,,,,,,,
2016,"196,577","297,084",0,0,"36,206",979,0,,,,,,,
2015,"210,538","385,770",0,0,"33,798","1,132",0,,,,,,,
2014,"215,811","302,762",46,459,"29,524","1,340",0,,,,,,,
