Concessioner Lodging Overnights_label,Concessioner Lodging Overnights_Chart1_CategoryGroup_label,Concessioner Lodging Overnights_Chart1_CategoryGroup_Value_Y,Concessioner Camping Overnights_label,Concessioner Camping Overnights_Chart1_CategoryGroup_Value_Y,Tent Overnights_label,Tent Overnights_Chart1_CategoryGroup_Value_Y,Recreation Vehicle Overnights_label,Recreation Vehicle Overnights_Chart1_CategoryGroup_Value_Y,Backcountry Overnights_label,Backcountry Overnights_Chart1_CategoryGroup_Value_Y,Miscellaneous Overnights_label,Miscellaneous Overnights_Chart1_CategoryGroup_Value_Y,Non Recreation Overnights_label,Non Recreation Overnights_Chart1_CategoryGroup_Value_Y
Concessioner Lodging Overnights,1979,881342,Concessioner Camping Overnights,0,Tent Overnights,282075,Recreation Vehicle Overnights,273374,Backcountry Overnights,72901,Miscellaneous Overnights,0,Non Recreation Overnights,0
Concessioner Lodging Overnights,1980,890048,Concessioner Camping Overnights,0,Tent Overnights,625208,Recreation Vehicle Overnights,380094,Backcountry Overnights,139288,Miscellaneous Overnights,0,Non Recreation Overnights,0
Concessioner Lodging Overnights,1981,909233,Concessioner Camping Overnights,0,Tent Overnights,737591,Recreation Vehicle Overnights,340229,Backcountry Overnights,140221,Miscellaneous Overnights,0,Non Recreation Overnights,0
Concessioner Lodging Overnights,1982,907453,Concessioner Camping Overnights,0,Tent Overnights,665191,Recreation Vehicle Overnights,339074,Backcountry Overnights,125557,Miscellaneous Overnights,0,Non Recreation Overnights,0
Concessioner Lodging Overnights,1983,910503,Concessioner Camping Overnights,0,Tent Overnights,571137,Recreation Vehicle Overnights,334009,Backcountry Overnights,101017,Miscellaneous Overnights,0,Non Recreation Overnights,0
Concessioner Lodging Overnights,1984,944052,Concessioner Camping Overnights,0,Tent Overnights,747145,Recreation Vehicle Overnights,407930,Backcountry Overnights,111788,Miscellaneous Overnights,0,Non Recreation Overnights,0
Concessioner Lodging Overnights,1985,962921,Concessioner Camping Overnights,0,Tent Overnights,615471,Recreation Vehicle Overnights,378557,Backcountry Overnights,111390,Miscellaneous Overnights,0,Non Recreation Overnights,0
Concessioner Lodging Overnights,1986,981527,Concessioner Camping Overnights,0,Tent Overnights,511981,Recreation Vehicle Overnights,284479,Backcountry Overnights,105614,Miscellaneous Overnights,0,Non Recreation Overnights,0
Concessioner Lodging Overnights,1987,995654,Concessioner Camping Overnights,0,Tent Overnights,704629,Recreation Vehicle Overnights,393694,Backcountry Overnights,105103,Miscellaneous Overnights,0,Non Recreation Overnights,0
Concessioner Lodging Overnights,1988,1028113,Concessioner Camping Overnights,0,Tent Overnights,717811,Recreation Vehicle Overnights,437244,Backcountry Overnights,102610,Miscellaneous Overnights,0,Non Recreation Overnights,0
Concessioner Lodging Overnights,1989,1048640,Concessioner Camping Overnights,0,Tent Overnights,666404,Recreation Vehicle Overnights,401996,Backcountry Overnights,102695,Miscellaneous Overnights,0,Non Recreation Overnights,0
Concessioner Lodging Overnights,1990,1029846,Concessioner Camping Overnights,0,Tent Overnights,754555,Recreation Vehicle Overnights,333886,Backcountry Overnights,102133,Miscellaneous Overnights,0,Non Recreation Overnights,0
Concessioner Lodging Overnights,1991,1028088,Concessioner Camping Overnights,0,Tent Overnights,647698,Recreation Vehicle Overnights,355184,Backcountry Overnights,121913,Miscellaneous Overnights,0,Non Recreation Overnights,0
Concessioner Lodging Overnights,1992,1056193,Concessioner Camping Overnights,0,Tent Overnights,707204,Recreation Vehicle Overnights,374632,Backcountry Overnights,119700,Miscellaneous Overnights,0,Non Recreation Overnights,0
Concessioner Lodging Overnights,1993,1041862,Concessioner Camping Overnights,0,Tent Overnights,611774,Recreation Vehicle Overnights,313560,Backcountry Overnights,124821,Miscellaneous Overnights,66332,Non Recreation Overnights,0
Concessioner Lodging Overnights,1994,1042435,Concessioner Camping Overnights,0,Tent Overnights,664252,Recreation Vehicle Overnights,332916,Backcountry Overnights,132804,Miscellaneous Overnights,75804,Non Recreation Overnights,0
Concessioner Lodging Overnights,1995,1001509,Concessioner Camping Overnights,0,Tent Overnights,575266,Recreation Vehicle Overnights,292708,Backcountry Overnights,110700,Miscellaneous Overnights,59286,Non Recreation Overnights,0
Concessioner Lodging Overnights,1996,1030368,Concessioner Camping Overnights,0,Tent Overnights,592413,Recreation Vehicle Overnights,302072,Backcountry Overnights,107182,Miscellaneous Overnights,63279,Non Recreation Overnights,0
Concessioner Lodging Overnights,1997,782751,Concessioner Camping Overnights,0,Tent Overnights,436107,Recreation Vehicle Overnights,276228,Backcountry Overnights,113982,Miscellaneous Overnights,26111,Non Recreation Overnights,0
Concessioner Lodging Overnights,1998,845363,Concessioner Camping Overnights,0,Tent Overnights,388313,Recreation Vehicle Overnights,248116,Backcountry Overnights,87601,Miscellaneous Overnights,20101,Non Recreation Overnights,0
Concessioner Lodging Overnights,1999,782944,Concessioner Camping Overnights,0,Tent Overnights,465787,Recreation Vehicle Overnights,192596,Backcountry Overnights,87189,Miscellaneous Overnights,22442,Non Recreation Overnights,0
Concessioner Lodging Overnights,2000,835507,Concessioner Camping Overnights,0,Tent Overnights,469256,Recreation Vehicle Overnights,197404,Backcountry Overnights,106266,Miscellaneous Overnights,24310,Non Recreation Overnights,0
Concessioner Lodging Overnights,2001,848309,Concessioner Camping Overnights,0,Tent Overnights,473303,Recreation Vehicle Overnights,195916,Backcountry Overnights,100207,Miscellaneous Overnights,24446,Non Recreation Overnights,0
Concessioner Lodging Overnights,2002,859868,Concessioner Camping Overnights,0,Tent Overnights,485461,Recreation Vehicle Overnights,206128,Backcountry Overnights,125027,Miscellaneous Overnights,24250,Non Recreation Overnights,0
Concessioner Lodging Overnights,2003,874165,Concessioner Camping Overnights,0,Tent Overnights,471765,Recreation Vehicle Overnights,220764,Backcountry Overnights,85674,Miscellaneous Overnights,24563,Non Recreation Overnights,0
Concessioner Lodging Overnights,2004,835853,Concessioner Camping Overnights,0,Tent Overnights,468577,Recreation Vehicle Overnights,201836,Backcountry Overnights,82259,Miscellaneous Overnights,25631,Non Recreation Overnights,0
Concessioner Lodging Overnights,2005,819638,Concessioner Camping Overnights,0,Tent Overnights,449149,Recreation Vehicle Overnights,201504,Backcountry Overnights,70803,Miscellaneous Overnights,17421,Non Recreation Overnights,0
Concessioner Lodging Overnights,2006,816305,Concessioner Camping Overnights,0,Tent Overnights,436432,Recreation Vehicle Overnights,203252,Backcountry Overnights,81305,Miscellaneous Overnights,31331,Non Recreation Overnights,0
Concessioner Lodging Overnights,2007,836226,Concessioner Camping Overnights,0,Tent Overnights,437429,Recreation Vehicle Overnights,206000,Backcountry Overnights,76576,Miscellaneous Overnights,17208,Non Recreation Overnights,0
Concessioner Lodging Overnights,2008,849678,Concessioner Camping Overnights,0,Tent Overnights,458265,Recreation Vehicle Overnights,214360,Backcountry Overnights,137330,Miscellaneous Overnights,22982,Non Recreation Overnights,0
Concessioner Lodging Overnights,2009,814521,Concessioner Camping Overnights,0,Tent Overnights,481492,Recreation Vehicle Overnights,212244,Backcountry Overnights,158233,Miscellaneous Overnights,34379,Non Recreation Overnights,0
Concessioner Lodging Overnights,2010,762895,Concessioner Camping Overnights,0,Tent Overnights,526026,Recreation Vehicle Overnights,265920,Backcountry Overnights,125136,Miscellaneous Overnights,40932,Non Recreation Overnights,0
Concessioner Lodging Overnights,2011,765823,Concessioner Camping Overnights,0,Tent Overnights,505390,Recreation Vehicle Overnights,226304,Backcountry Overnights,103420,Miscellaneous Overnights,29673,Non Recreation Overnights,0
Concessioner Lodging Overnights,2012,732843,Concessioner Camping Overnights,0,Tent Overnights,537451,Recreation Vehicle Overnights,260136,Backcountry Overnights,168783,Miscellaneous Overnights,32708,Non Recreation Overnights,0
Concessioner Lodging Overnights,2013,724866,Concessioner Camping Overnights,0,Tent Overnights,459565,Recreation Vehicle Overnights,241656,Backcountry Overnights,172353,Miscellaneous Overnights,29668,Non Recreation Overnights,0
Concessioner Lodging Overnights,2014,832378,Concessioner Camping Overnights,0,Tent Overnights,480094,Recreation Vehicle Overnights,166744,Backcountry Overnights,190339,Miscellaneous Overnights,50545,Non Recreation Overnights,0
Concessioner Lodging Overnights,2015,938418,Concessioner Camping Overnights,0,Tent Overnights,588701,Recreation Vehicle Overnights,284372,Backcountry Overnights,211966,Miscellaneous Overnights,39214,Non Recreation Overnights,0
Concessioner Lodging Overnights,2016,743546,Concessioner Camping Overnights,0,Tent Overnights,490431,Recreation Vehicle Overnights,376744,Backcountry Overnights,216989,Miscellaneous Overnights,51542,Non Recreation Overnights,0
Concessioner Lodging Overnights,2017,826725,Concessioner Camping Overnights,0,Tent Overnights,456476,Recreation Vehicle Overnights,293844,Backcountry Overnights,167507,Miscellaneous Overnights,26166,Non Recreation Overnights,0
Concessioner Lodging Overnights,2018,654272,Concessioner Camping Overnights,0,Tent Overnights,354819,Recreation Vehicle Overnights,259748,Backcountry Overnights,124577,Miscellaneous Overnights,16667,Non Recreation Overnights,0
,,,,,,,,,,,,,,
ReportYear,ConcessionerLodgingOvernights,Textbox5,TentOvernights,RecreationVehicleOvernights,BackcountryOvernights,MiscellaneousOvernights,NonRecreationOvernights,,,,,,,
2018,"654,272",0,"354,819","259,748","124,577","16,667",0,,,,,,,
2017,"826,725",0,"456,476","293,844","167,507","26,166",0,,,,,,,
2016,"743,546",0,"490,431","376,744","216,989","51,542",0,,,,,,,
2015,"938,418",0,"588,701","284,372","211,966","39,214",0,,,,,,,
2014,"832,378",0,"480,094","166,744","190,339","50,545",0,,,,,,,
2013,"724,866",0,"459,565","241,656","172,353","29,668",0,,,,,,,
2012,"732,843",0,"537,451","260,136","168,783","32,708",0,,,,,,,
2011,"765,823",0,"505,390","226,304","103,420","29,673",0,,,,,,,
2010,"762,895",0,"526,026","265,920","125,136","40,932",0,,,,,,,
2009,"814,521",0,"481,492","212,244","158,233","34,379",0,,,,,,,
2008,"849,678",0,"458,265","214,360","137,330","22,982",0,,,,,,,
2007,"836,226",0,"437,429","206,000","76,576","17,208",0,,,,,,,
2006,"816,305",0,"436,432","203,252","81,305","31,331",0,,,,,,,
2005,"819,638",0,"449,149","201,504","70,803","17,421",0,,,,,,,
2004,"835,853",0,"468,577","201,836","82,259","25,631",0,,,,,,,
2003,"874,165",0,"471,765","220,764","85,674","24,563",0,,,,,,,
2002,"859,868",0,"485,461","206,128","125,027","24,250",0,,,,,,,
2001,"848,309",0,"473,303","195,916","100,207","24,446",0,,,,,,,
2000,"835,507",0,"469,256","197,404","106,266","24,310",0,,,,,,,
1999,"782,944",0,"465,787","192,596","87,189","22,442",0,,,,,,,
1998,"845,363",0,"388,313","248,116","87,601","20,101",0,,,,,,,
1997,"782,751",0,"436,107","276,228","113,982","26,111",0,,,,,,,
1996,"1,030,368",0,"592,413","302,072","107,182","63,279",0,,,,,,,
1995,"1,001,509",0,"575,266","292,708","110,700","59,286",0,,,,,,,
1994,"1,042,435",0,"664,252","332,916","132,804","75,804",0,,,,,,,
1993,"1,041,862",0,"611,774","313,560","124,821","66,332",0,,,,,,,
1992,"1,056,193",0,"707,204","374,632","119,700",0,0,,,,,,,
1991,"1,028,088",0,"647,698","355,184","121,913",0,0,,,,,,,
1990,"1,029,846",0,"754,555","333,886","102,133",0,0,,,,,,,
1989,"1,048,640",0,"666,404","401,996","102,695",0,0,,,,,,,
1988,"1,028,113",0,"717,811","437,244","102,610",0,0,,,,,,,
1987,"995,654",0,"704,629","393,694","105,103",0,0,,,,,,,
1986,"981,527",0,"511,981","284,479","105,614",0,0,,,,,,,
1985,"962,921",0,"615,471","378,557","111,390",0,0,,,,,,,
1984,"944,052",0,"747,145","407,930","111,788",0,0,,,,,,,
1983,"910,503",0,"571,137","334,009","101,017",0,0,,,,,,,
1982,"907,453",0,"665,191","339,074","125,557",0,0,,,,,,,
1981,"909,233",0,"737,591","340,229","140,221",0,0,,,,,,,
1980,"890,048",0,"625,208","380,094","139,288",0,0,,,,,,,
1979,"881,342",0,"282,075","273,374","72,901",0,0,,,,,,,
