date,price
Apr-93,1.078
May-93,1.1
Jun-93,1.097
Jul-93,1.078
Aug-93,1.062
Sep-93,1.05
Oct-93,1.092
Nov-93,1.066
Dec-93,1.014
Jan-94,0.998
Feb-94,1.009
Mar-94,1.008
Apr-94,1.027
May-94,1.047
Jun-94,1.078
Jul-94,1.106
Aug-94,1.155
Sep-94,1.144
Oct-94,1.114
Nov-94,1.119
Dec-94,1.129
Jan-95,1.13
Feb-95,1.12
Mar-95,1.119
Apr-95,1.157
May-95,1.225
Jun-95,1.239
Jul-95,1.201
Aug-95,1.17
Sep-95,1.158
Oct-95,1.134
Nov-95,1.109
Dec-95,1.118
Jan-96,1.137
Feb-96,1.136
Mar-96,1.183
Apr-96,1.275
May-96,1.324
Jun-96,1.3
Jul-96,1.272
Aug-96,1.251
Sep-96,1.247
Oct-96,1.249
Nov-96,1.278
Dec-96,1.282
Jan-97,1.283
Feb-97,1.276
Mar-97,1.251
Apr-97,1.244
May-97,1.245
Jun-97,1.242
Jul-97,1.22
Aug-97,1.268
Sep-97,1.276
Oct-97,1.242
Nov-97,1.216
Dec-97,1.177
Jan-98,1.132
Feb-98,1.096
Mar-98,1.064
Apr-98,1.077
May-98,1.105
Jun-98,1.103
Jul-98,1.094
Aug-98,1.065
Sep-98,1.049
Oct-98,1.059
Nov-98,1.036
Dec-98,0.987
Jan-99,0.98
Feb-99,0.962
Mar-99,1.022
Apr-99,1.171
May-99,1.171
Jun-99,1.154
Jul-99,1.197
Aug-99,1.26
Sep-99,1.295
Oct-99,1.285
Nov-99,1.292
Dec-99,1.313
Jan-00,1.329
Feb-00,1.415
Mar-00,1.556
Apr-00,1.506
May-00,1.526
Jun-00,1.666
Jul-00,1.591
Aug-00,1.506
Sep-00,1.588
Oct-00,1.571
Nov-00,1.557
Dec-00,1.483
1-Jan,1.487
1-Feb,1.49
1-Mar,1.45
1-Apr,1.591
1-May,1.738
1-Jun,1.658
1-Jul,1.466
1-Aug,1.461
1-Sep,1.557
1-Oct,1.357
1-Nov,1.212
1-Dec,1.127
2-Jan,1.148
2-Feb,1.155
2-Mar,1.289
2-Apr,1.439
2-May,1.434
2-Jun,1.424
2-Jul,1.438
2-Aug,1.438
2-Sep,1.441
2-Oct,1.486
2-Nov,1.461
2-Dec,1.429
3-Jan,1.5
3-Feb,1.655
3-Mar,1.734
3-Apr,1.633
3-May,1.539
3-Jun,1.533
3-Jul,1.554
3-Aug,1.661
3-Sep,1.721
3-Oct,1.606
3-Nov,1.555
3-Dec,1.522
4-Jan,1.614
4-Feb,1.69
4-Mar,1.778
4-Apr,1.839
4-May,2.023
4-Jun,2.013
4-Jul,1.954
4-Aug,1.92
4-Sep,1.912
4-Oct,2.042
4-Nov,2.023
4-Dec,1.887
5-Jan,1.875
5-Feb,1.953
5-Mar,2.12
5-Apr,2.285
5-May,2.205
5-Jun,2.198
5-Jul,2.333
5-Aug,2.529
5-Sep,2.951
5-Oct,2.765
5-Nov,2.303
5-Dec,2.229
6-Jan,2.36
6-Feb,2.326
6-Mar,2.468
6-Apr,2.787
6-May,2.953
6-Jun,2.93
6-Jul,3.025
6-Aug,2.999
6-Sep,2.606
6-Oct,2.293
6-Nov,2.275
6-Dec,2.359
7-Jan,2.289
7-Feb,2.323
7-Mar,2.609
7-Apr,2.891
7-May,3.187
7-Jun,3.102
7-Jul,3.011
7-Aug,2.834
7-Sep,2.849
7-Oct,2.853
7-Nov,3.128
7-Dec,3.07
8-Jan,3.095
8-Feb,3.078
8-Mar,3.293
8-Apr,3.507
8-May,3.815
8-Jun,4.105
8-Jul,4.114
8-Aug,3.833
8-Sep,3.756
8-Oct,3.112
8-Nov,2.208
8-Dec,1.745
9-Jan,1.84
9-Feb,1.975
9-Mar,2.011
9-Apr,2.102
9-May,2.316
9-Jun,2.681
9-Jul,2.582
9-Aug,2.67
9-Sep,2.609
9-Oct,2.605
9-Nov,2.706
9-Dec,2.663
10-Jan,2.769
10-Feb,2.699
10-Mar,2.824
10-Apr,2.9
10-May,2.89
10-Jun,2.785
10-Jul,2.782
10-Aug,2.783
10-Sep,2.757
10-Oct,2.853
10-Nov,2.913
10-Dec,3.048
11-Jan,3.148
11-Feb,3.264
11-Mar,3.615
11-Apr,3.852
11-May,3.96
11-Jun,3.735
11-Jul,3.705
11-Aug,3.696
11-Sep,3.667
11-Oct,3.506
11-Nov,3.443
11-Dec,3.326
12-Jan,3.44
12-Feb,3.64
12-Mar,3.907
12-Apr,3.958
12-May,3.791
12-Jun,3.596
12-Jul,3.498
12-Aug,3.78
12-Sep,3.91
12-Oct,3.812
12-Nov,3.521
12-Dec,3.381
13-Jan,3.391
13-Feb,3.736
13-Mar,3.779
13-Apr,3.638
13-May,3.675
13-Jun,3.689
13-Jul,3.661
13-Aug,3.645
13-Sep,3.604
13-Oct,3.42
13-Nov,3.322
13-Dec,3.357
14-Jan,3.392
14-Feb,3.434
14-Mar,3.606
14-Apr,3.735
14-May,3.75
14-Jun,3.766
14-Jul,3.688
14-Aug,3.565
14-Sep,3.484
14-Oct,3.255
14-Nov,2.997
14-Dec,2.632
15-Jan,2.208
15-Feb,2.301
15-Mar,2.546
15-Apr,2.555
15-May,2.802
15-Jun,2.885
15-Jul,2.88
15-Aug,2.726
15-Sep,2.462
15-Oct,2.387
15-Nov,2.26
15-Dec,2.144
16-Jan,2.057
16-Feb,1.872
16-Mar,2.071
16-Apr,2.216
16-May,2.371
16-Jun,2.467
16-Jul,2.345
16-Aug,2.284
16-Sep,2.327
16-Oct,2.359
16-Nov,2.295
16-Dec,2.366
17-Jan,2.458
17-Feb,2.416
17-Mar,2.437
17-Apr,2.528
17-May,2.503
17-Jun,2.46
17-Jul,2.414
17-Aug,2.494
17-Sep,2.761
17-Oct,2.621
17-Nov,2.678
17-Dec,2.594
18-Jan,2.671
18-Feb,2.705
18-Mar,2.709
18-Apr,2.873
18-May,2.987
18-Jun,2.97
18-Jul,2.928
18-Aug,2.914
18-Sep,2.915
18-Oct,2.943
18-Nov,2.736
18-Dec,2.457
19-Jan,2.338
19-Feb,2.393
19-Mar,2.594
